Date,Time,Event
2024-11-18,,
2024-11-18,15:38:03,New Date Entry
2024-11-18,15:38:03,Drowsiness Detected
2024-11-18,15:38:06,Drowsiness Detected
2024-11-18,19:21:15,Drowsiness Detected
2024-11-18,23:32:26,Drowsiness Detected
2024-11-18,23:33:00,Drowsiness Detected
2024-11-18,23:33:04,Drowsiness Detected
2024-11-18,23:33:07,Drowsiness Detected
2024-11-18,23:33:10,Drowsiness Detected
2024-11-18,23:33:13,Drowsiness Detected
2024-11-18,23:33:21,Drowsiness Detected
2024-11-18,23:33:27,Drowsiness Detected
2024-11-18,23:33:30,Drowsiness Detected
2024-11-18,23:33:34,Drowsiness Detected
2024-11-18,23:33:46,Drowsiness Detected
2024-11-18,23:34:02,Drowsiness Detected
2024-11-18,23:34:05,Drowsiness Detected
2024-11-18,23:34:11,Drowsiness Detected
2024-11-18,23:34:17,Drowsiness Detected
2024-11-18,23:34:22,Drowsiness Detected
2024-11-18,23:35:22,Drowsiness Detected
2024-11-18,23:35:50,Drowsiness Detected
2024-11-18,23:36:00,Drowsiness Detected
2024-11-18,23:36:12,Drowsiness Detected
2024-11-18,23:37:33,Drowsiness Detected
2024-11-19,,
2024-11-19,00:04:07,New Date Entry
2024-11-19,00:04:07,Drowsiness Detected
2024-11-19,09:47:30,Drowsiness Detected
2024-11-19,09:47:39,Drowsiness Detected
2024-11-19,09:48:40,Drowsiness Detected
2024-11-19,09:49:18,Drowsiness Detected
2024-11-19,09:49:42,Drowsiness Detected
2024-11-19,09:49:48,Drowsiness Detected
2024-11-19,09:49:57,Drowsiness Detected
2024-11-19,09:50:07,Drowsiness Detected
2024-11-19,09:50:26,Drowsiness Detected
2024-11-19,09:50:29,Drowsiness Detected
2024-11-19,09:50:32,Drowsiness Detected
