Date,Time,Event
2024-11-19,,
2024-11-19,22:46:46,New Date Entry
2024-11-19,22:46:46,Drowsiness Detected
2024-11-19,22:46:56,Drowsiness Detected
2024-11-19,22:47:14,Drowsiness Detected
2024-11-20,,
2024-11-20,10:21:15,New Date Entry
2024-11-20,10:21:15,Drowsiness Detected
2024-11-20,10:21:33,Drowsiness Detected
2024-11-20,10:21:39,Drowsiness Detected
2024-11-20,10:21:47,Drowsiness Detected
2024-11-20,11:03:52,Drowsiness Detected
2024-11-20,11:03:57,Drowsiness Detected
2024-11-20,11:04:00,Drowsiness Detected
