Date,Time,Event
2024-11-30,,
2024-11-30,11:16:36,New Date Entry
2024-11-30,11:16:36,Drowsiness Detected
2024-11-30,11:16:41,Drowsiness Detected
2024-11-30,11:18:47,Drowsiness Detected
2024-11-30,11:38:13,Drowsiness Detected
2024-11-30,17:00:19,Drowsiness Detected
2024-11-30,17:00:29,Drowsiness Detected
2024-11-30,17:00:34,Drowsiness Detected
2024-11-30,17:00:50,Drowsiness Detected
2024-11-30,17:00:52,Drowsiness Detected
2024-11-30,17:00:54,Drowsiness Detected
2024-11-30,17:00:57,Drowsiness Detected
2024-11-30,17:00:59,Drowsiness Detected
2024-11-30,17:01:01,Drowsiness Detected
2024-11-30,17:01:06,Drowsiness Detected
2024-11-30,17:01:08,Drowsiness Detected
