Date,Time,Event
2024-11-30,,
2024-11-30,20:19:11,New Date Entry
2024-11-30,20:19:11,Drowsiness Detected
2024-11-30,20:19:22,Drowsiness Detected
2024-11-30,20:19:27,Drowsiness Detected
2024-11-30,20:19:37,Drowsiness Detected
2024-11-30,20:19:40,Drowsiness Detected
2024-11-30,20:19:42,Drowsiness Detected
2024-11-30,20:19:44,Drowsiness Detected
2024-11-30,20:19:46,Drowsiness Detected
2024-12-03,,
2024-12-03,10:41:17,New Date Entry
2024-12-03,10:41:17,Drowsiness Detected
2024-12-03,10:41:28,Drowsiness Detected
2024-12-03,10:42:06,Drowsiness Detected
2024-12-03,10:42:12,Drowsiness Detected
